id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1020,43477.17,sine,0.7917,24.53,43579.10,0.234438,1,4,4.98
1021,69543.08,sine,0.6628,34.94,69667.97,0.179590,1,13,40.65
1022,22652.68,sine,0.2179,32.12,22724.61,0.317554,1,3,3.43
1023,85095.19,sine,0.7607,26.83,85175.78,0.094702,1,5,5.79
1024,48374.31,triangle,0.3988,29.31,48427.73,0.110442,1,19,55.93
1025,2354.56,sine,0.3327,20.56,2446.29,3.895846,1,194,340.18
1026,63506.16,square,0.5933,23.49,63593.75,0.137928,1,9,15.55
1027,30297.27,square,0.9688,21.01,30336.91,0.130847,1,34,61.59
1028,89148.05,square,0.6075,30.01,89150.39,0.002628,1,3,5.17
1029,7870.01,sine,0.6408,26.82,7983.40,1.440708,1,34,32.87
1030,91809.54,square,0.2290,34.29,91870.12,0.065983,1,6,9.85
1031,30041.99,square,0.7280,38.01,30058.59,0.055273,1,37,50.42
1032,79426.93,triangle,0.7117,38.92,79433.59,0.008392,1,29,33.96
1033,30286.59,sine,0.3448,24.36,30336.91,0.166174,1,34,38.27
1034,66521.62,square,0.6341,20.32,66650.39,0.193571,1,11,16.21
1035,73149.03,sine,0.6986,31.13,73276.37,0.174083,1,12,13.46
1036,34930.36,sine,0.1850,36.63,34965.82,0.101513,1,20,22.91
1037,91921.36,square,0.1931,28.04,92036.13,0.124863,1,52,78.75
1038,73164.98,triangle,0.2064,20.00,73276.37,0.152240,1,12,14.36
1039,71501.57,square,0.3290,20.26,71596.68,0.133021,1,20,29.76
1040,54489.64,triangle,0.9619,31.31,54492.19,0.004673,1,1,1.24
1041,51931.67,sine,0.5940,27.60,52045.90,0.219956,1,38,41.67
1042,61106.39,square,0.3163,21.90,61181.64,0.123142,1,3,3.68
1043,32176.93,sine,0.2592,39.75,32285.16,0.336360,1,13,11.57
1044,44966.25,square,0.8863,39.91,45087.89,0.270511,1,19,21.90
1045,58688.73,triangle,0.3942,26.11,58789.06,0.170956,1,17,19.59
1046,40867.67,triangle,0.7140,26.30,40893.55,0.063342,1,26,30.41
1047,14187.78,square,0.2155,31.57,14282.23,0.665672,1,36,48.28
1048,69648.79,triangle,0.7781,37.46,69667.97,0.027535,1,13,13.20
1049,50495.94,triangle,0.6573,23.73,50551.76,0.110539,1,4,3.89
1050,3543.27,sine,0.4987,32.34,3691.41,4.180636,1,109,94.44
1051,85145.97,sine,0.2130,39.27,85175.78,0.035008,1,5,5.38
1052,11696.41,square,0.6270,30.83,11791.99,0.817181,1,16,19.98
1053,9517.18,sine,0.1949,31.71,9604.49,0.917379,1,80,71.93
1054,54890.14,sine,0.6740,36.40,54946.29,0.102286,1,20,21.39
1055,5116.32,square,0.7204,25.05,5273.44,3.070968,1,1,1.29
1056,31469.32,square,0.9081,36.20,31542.97,0.234035,1,21,26.11
1057,58729.89,triangle,0.4283,32.82,58789.06,0.100751,1,17,15.31
1058,47151.98,sine,0.7316,31.13,47197.27,0.096047,1,3,3.85
1059,36503.54,triangle,0.1188,26.32,36606.45,0.281914,1,4,5.07
1060,6631.26,triangle,0.7319,26.63,6713.87,1.245749,1,86,86.49
1061,67890.63,square,0.7806,29.08,67983.40,0.136648,1,4,5.69
1062,41815.69,triangle,0.3258,22.41,41870.12,0.130152,1,18,20.61
1063,58869.77,triangle,0.4401,21.24,58959.96,0.153207,1,16,24.62
1064,34591.22,square,0.2457,33.16,34658.20,0.193638,1,23,40.38
1065,99777.19,square,0.4193,28.01,99780.27,0.003091,1,26,43.44
