id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
969,3979.44,triangle,0.1377,28.38,4013.67,0.860183,1,87,71.57
970,4195.87,triangle,0.6013,24.63,4233.40,0.894427,1,72,64.21
971,10546.12,triangle,0.9623,24.41,10629.88,0.794267,1,50,54.01
972,17837.45,triangle,0.9248,32.71,17939.45,0.571827,1,27,26.54
973,12966.59,square,0.7772,30.63,13051.76,0.656806,1,64,79.82
974,13871.32,square,0.7583,36.49,13974.61,0.744601,1,43,54.52
975,3782.29,triangle,0.5863,36.89,3808.59,0.695475,1,101,95.22
976,9194.73,square,0.9236,25.02,9296.88,1.110881,1,89,100.69
977,17040.03,square,0.5627,26.17,17133.79,0.550204,1,42,54.54
978,11887.80,sine,0.1353,25.44,11997.07,0.919165,1,10,10.46
979,1121.20,triangle,0.9692,27.90,,,0,260,190.32
980,14839.05,square,0.7040,36.11,14941.41,0.689802,1,21,27.92
981,18988.37,square,0.8050,25.32,19067.38,0.416119,1,6,9.03
982,19816.31,sine,0.6432,33.19,19931.64,0.581979,1,47,42.41
983,14072.87,sine,0.9447,23.62,14194.34,0.863153,1,38,33.81
984,12832.31,sine,0.3765,30.93,12919.92,0.682708,1,67,58.90
985,8926.67,sine,0.2538,28.36,9023.44,1.083971,1,97,78.94
986,15388.38,triangle,0.1757,27.86,15512.70,0.807874,1,8,7.22
987,2904.67,sine,0.6955,32.05,3032.23,4.391585,1,154,114.74
988,4097.36,sine,0.1213,36.70,4277.34,4.392595,1,69,66.08
989,19519.12,sine,0.3083,37.37,19614.26,0.487401,1,52,46.29
990,18602.81,square,0.1456,20.79,18745.12,0.764965,1,12,18.26
991,11905.05,square,0.1258,31.67,12031.25,1.060076,1,9,12.17
992,1214.75,triangle,0.3758,20.81,,,0,260,173.32
993,12178.69,square,0.9764,30.88,12304.69,1.034555,1,1,1.22
994,6229.54,triangle,0.3443,38.08,6298.83,1.112179,1,103,91.74
995,8119.72,square,0.1455,28.52,8251.95,1.628575,1,23,32.18
996,16814.91,triangle,0.3019,24.52,16918.95,0.618725,1,46,49.99
997,16528.80,triangle,0.1858,29.00,16596.68,0.410670,1,52,55.67
998,7411.63,triangle,0.1752,24.22,7495.12,1.126417,1,54,54.31
999,15296.90,sine,0.5433,28.84,15424.80,0.836158,1,10,10.87
